"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB04705","12,13-DHOME","HMDB0004705","10236635","72665","C14829",NA,"CCCCCC(C(C/C=C\CCCCCCCC(=O)O)O)O","1"
"HMDB04704","9,10-DHOME","HMDB0004704","9966640","72663","C14828",NA,"CCCCC/C=C\CC(C(CCCCCCCC(=O)O)O)O","1"
"HMDB00535","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(=O)O","1"
"HMDB00666","Heptanoic acid","HMDB0000666","8094","45571","C17714","5636","CCCCCCC(=O)O","1"
"HMDB00764","Hydrocinnamic acid","HMDB0000764","107","28631","C05629","4153","OC(=O)CCC1=CC=CC=C1","1"
"HMDB00703","Mandelic acid","HMDB0000703","439616","32800","C01984","5671","O[C@H](C(O)=O)C1=CC=CC=C1","1"
"HMDB00711","Hydroxyoctanoic acid","HMDB0000711","94180","86543",NA,"5679","CCCCCCC(C(=O)O)O","1"
"HMDB01954","3-Hydroxyoctanoic acid","HMDB0001954","26613","37098",NA,NA,"CCCCCC(O)CC(=O)O","1"
"HMDB00511","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(=O)O","1"
"HMDB00197","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"HMDB02203","3-Hydroxycapric acid","HMDB0002203","26612","132983",NA,"6544","CCCCCCCC(O)CC(=O)O","1"
"HMDB00638","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"HMDB00888","Undecanedioic acid","HMDB0000888","15816","73713",NA,"5846","C(CCCCC(=O)O)CCCCC(=O)O","1"
"HMDB02000","Myristoleic acid","HMDB0002000","5281119","27781","C08322","6424","CCCC/C=C\CCCCCCCC(=O)O","1"
"HMDB00806","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(=O)O","1"
"HMDB00623","Dodecanedioic acid","HMDB0000623","12736","4676","C02678","5596","C(CCCCCC(=O)O)CCCCC(=O)O","1"
"HMDB00826","Pentadecanoic acid","HMDB0000826","13849","42504","C16537","5789","CCCCCCCCCCCCCCC(=O)O","1"
"HMDB02261","alpha-hydroxy myristic acid","HMDB02261","656737","85937","C13790",NA,"CCCCCCCCCCCC(O)C(=O)O","1"
"HMDB03229","Palmitoleic acid","HMDB0003229","5312427","28716","C08362","188","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"HMDB00220","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"HMDB00872","Tetradecanedioic acid","HMDB0000872","13185","76308","C11002","5833","OC(=O)CCCCCCCCCCCCC(O)=O","1"
"HMDB60038","10Z-Heptadecenoic acid","HMDB0060038","5312435","75094",NA,NA,"CCCCCC\C=C/CCCCCCCCC(O)=O","1"
"HMDB62548","NA","NA","NA","NA","NA","NA","NA","0"
"HMDB01388","Alpha-Linolenic acid","HMDB0001388","5280934","27432","C06427","6208","CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1"
"HMDB00673","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"HMDB00207","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"HMDB00827","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB00672","Hexadecanedioic acid","HMDB0000672","10459","73722","C19615","5642","C(CCCCCCCC(=O)O)CCCCCCC(=O)O","1"
"HMDB13622","Nonadeca-10(Z)-enoic acid","HMDB0013622","5312513","37527","C00174",NA,"CCCCCCCC/C=C\CCCCCCCCC(=O)O","1"
"HMDB00772","Nonadecanoic acid","HMDB0000772","12591","39246","C16535","5738","CCCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB61710","17-Methylstearate","HMDB0061710","3083779","133136",NA,NA,"CC(C)CCCCCCCCCCCCCCCC(O)=O","1"
"HMDB01999","Eicosapentaenoic acid","HMDB0001999","446284","28364","C06428","6423","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"HMDB01043","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
